the_geom,cartodb_id,socrata_id,on_street_name,cross_street_name,date_time,latitude,longitude,borough,zip_code,crash_count,number_of_cyclist_injured,number_of_cyclist_killed,number_of_motorist_injured,number_of_motorist_killed,number_of_pedestrian_injured,number_of_pedestrian_killed,number_of_persons_injured,number_of_persons_killed,contributing_factors,vehicle_types
,2274687,3882891,tunnel exit street,,2018-04-16 20:23:00+00,,,Manhattan,10016,1,0,1,0,0,0,0,0,1,"Driver Inattention/Distraction,Unspecified","TAXI,BICYCLE"
0101000020E610000019C6DD205A7D52C05DA626C11B684440,2272531,3886232,,75        LASALLE STREET,2018-04-20 21:37:00+00,40.813347,-73.958626,Manhattan,10027,1,0,1,0,0,0,0,0,1,"Unspecified,Unspecified","SPORT UTILITY / STATION WAGON,BICYCLE"
0101000020E61000001D386744697952C0B537F8C2646C4440,2406429,3973645,BATHGATE AVENUE,,2018-09-01 16:24:00+00,40.846825,-73.89705,Bronx,10457,1,0,1,0,0,0,0,0,1,"Driver Inattention/Distraction,Unspecified,Unspecified","Station Wagon/Sport Utility Vehicle,Bike,Station Wagon/Sport Utility Vehicle"
0101000020E6100000153AAFB14B7452C08787307E1A4B4440,2675741,4214054,ROCKAWAY FREEWAY,,2019-09-27 19:44:00+00,40.586746,-73.81712,Queens,11693,1,0,1,0,0,0,0,0,1,"Failure to Yield Right-of-Way,Unspecified","Station Wagon/Sport Utility Vehicle,Bike"
0101000020E6100000DEAB5626FC7652C06A882AFC195C4440,2167512,3794170,FLEET STREET,,2017-11-17 14:43:00+00,40.719543,-73.85914,Queens,11374,1,0,1,0,0,0,0,0,1,"Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,Unspecified","BICYCLE,PASSENGER VEHICLE"
0101000020E6100000F89A6D64A57852C0AEE239833A5F4440,1863335,3485897,BROADWAY,BAXTER AVENUE,2016-07-07 08:07:00+00,40.74397316,-73.88509474,Queens,11373,1,0,1,0,0,0,0,0,1,"Unspecified,Unspecified","PASSENGER VEHICLE,BICYCLE"
0101000020E6100000B0C56E9F557E52C0A12DE7525C4D4440,2413709,4069339,KINGS HIGHWAY,,2019-01-26 18:48:00+00,40.60438,-73.973976,Brooklyn,11223,1,0,1,0,0,0,0,0,1,"Driver Inattention/Distraction,Unspecified","Station Wagon/Sport Utility Vehicle,Bike"
0101000020E61000008A027D224F7A52C0AD6EF59CF4624440,2336386,3947274,35 STREET,,2018-07-23 23:07:00+00,40.77309,-73.91108,Queens,11105,1,0,1,0,0,0,0,0,1,"Traffic Control Disregarded,Unspecified","Bike,Station Wagon/Sport Utility Vehicle"
0101000020E6100000EE6B6E96DC7752C0AD9E3825C5624440,1764495,3514410,,,2016-09-05 00:09:00+00,40.7716414,-73.8728386,Queens,,1,0,1,0,0,0,0,0,1,"Unspecified,Unspecified","PASSENGER VEHICLE,BICYCLE"
0101000020E610000025068195437F52C0D84812842B524440,2125418,3747815,12 AVENUE,,2017-09-10 09:06:00+00,40.641953,-73.9885,Brooklyn,11218,1,3,1,0,0,0,0,3,1,"Alcohol Involvement,Unspecified,Unspecified,Unspecified","BICYCLE,SPORT UTILITY / STATION WAGON,BICYCLE,BICYCLE"
0101000020E6100000EF2076A6D07F52C05FB87361A45F4440,2075685,3690274,WEST 26 STREET,,2017-06-12 08:15:00+00,40.747204,-73.99711,Manhattan,,1,0,1,0,0,0,0,0,1,"Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,Driver Inattention/Distraction",BICYCLE
,1996102,3506470,NORTHERN BOULEVARD,,2016-08-24 06:08:00+00,,,Queens,,1,0,1,1,0,0,0,1,1,"Unspecified,Unspecified","PASSENGER VEHICLE,BICYCLE"
0101000020E6100000C746205ED77E52C05F402FDCB9504440,2503648,4116560,47 STREET,,2019-04-17 17:31:00+00,40.630672,-73.981895,Brooklyn,,1,0,1,0,0,0,0,0,1,"Driver Inattention/Distraction,Unspecified","Box Truck,Bike"
